/usr/bin/java  -classpath /home/atz2nd/Desktop/YCSB/conf:/home/atz2nd/Desktop/YCSB/core/target/core-0.17.0-SNAPSHOT.jar:/home/atz2nd/Desktop/YCSB/mssql/src/main/conf:/home/atz2nd/Desktop/YCSB/mssql/target/jdbc-mssql-binding-0.17.0-SNAPSHOT.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/HdrHistogram-2.1.9.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/commons-collections-3.2.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/commons-lang-2.4.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/commons-pool-1.5.4.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/geronimo-jms_1.1_spec-1.1.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/geronimo-jta_1.1_spec-1.1.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/htrace-core4-4.2.0-incubating.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/mssql-jdbc-7.2.2.jre8.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/openjpa-jdbc-2.1.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/openjpa-kernel-2.1.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/openjpa-lib-2.1.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/serp-1.13.1.jar com.yahoo.ycsb.Client -t -db com.yahoo.ycsb.db.JdbcDBClient -s -P /home/atz2nd/Desktop/YCSB/mssql/db.properties -P /home/atz2nd/Desktop/YCSB/workloads/workloadB -p recordcount=10 -threads 1 -p operationcount=10
Adding shard node URL: jdbc:sqlserver://localhost:1433;databaseName=ycsb
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 1004
[OVERALL], Throughput(ops/sec), 9.9601593625498
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 369.0
[CLEANUP], MinLatency(us), 369
[CLEANUP], MaxLatency(us), 369
[CLEANUP], 95thPercentileLatency(us), 369
[CLEANUP], 99thPercentileLatency(us), 369
[UPDATE], Operations, 10
[UPDATE], AverageLatency(us), 59849.6
[UPDATE], MinLatency(us), 44128
[UPDATE], MaxLatency(us), 117119
[UPDATE], 95thPercentileLatency(us), 117119
[UPDATE], 99thPercentileLatency(us), 117119
[UPDATE], Return=OK, 10
