/usr/lib/jvm/java-11-openjdk-11.0.4.11-0.el7_6.x86_64//bin/java  -classpath /mnt/hdd2/nosql-prj/YCSB/YCSB/conf:/mnt/hdd2/nosql-prj/YCSB/YCSB/core/target/core-0.17.0-SNAPSHOT.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/src/main/conf:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/jdbc-binding-0.17.0-SNAPSHOT.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/commons-collections-3.2.1.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/commons-lang-2.4.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/commons-pool-1.5.4.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/geronimo-jms_1.1_spec-1.1.1.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/geronimo-jta_1.1_spec-1.1.1.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/HdrHistogram-2.1.9.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/htrace-core4-4.2.0-incubating.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/mysql-connector-java-5.1.39.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/openjpa-jdbc-2.1.1.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/openjpa-kernel-2.1.1.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/openjpa-lib-2.1.1.jar:/mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/target/dependency/serp-1.13.1.jar com.yahoo.ycsb.Client -t -db com.yahoo.ycsb.db.JdbcDBClient -s -P /mnt/hdd2/nosql-prj/YCSB/YCSB/jdbc/db.properties -P /mnt/hdd2/nosql-prj/YCSB/YCSB/workloads/workloade -p recordcount=1000 -threads 1 -p operationcount=1000
Adding shard node URL: jdbc:mysql://localhost:3306/ycsb
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 632
[OVERALL], Throughput(ops/sec), 1582.2784810126582
[TOTAL_GCS_G1_Young_Generation], Count, 1
[TOTAL_GC_TIME_G1_Young_Generation], Time(ms), 6
[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%), 0.949367088607595
[TOTAL_GCS_G1_Old_Generation], Count, 0
[TOTAL_GC_TIME_G1_Old_Generation], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%), 0.0
[TOTAL_GCs], Count, 1
[TOTAL_GC_TIME], Time(ms), 6
[TOTAL_GC_TIME_%], Time(%), 0.949367088607595
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 552.0
[CLEANUP], MinLatency(us), 552
[CLEANUP], MaxLatency(us), 552
[CLEANUP], 95thPercentileLatency(us), 552
[CLEANUP], 99thPercentileLatency(us), 552
[INSERT], Operations, 42
[INSERT], AverageLatency(us), 3484.714285714286
[INSERT], MinLatency(us), 1975
[INSERT], MaxLatency(us), 10807
[INSERT], 95thPercentileLatency(us), 7639
[INSERT], 99thPercentileLatency(us), 10807
[INSERT], Return=OK, 42
[SCAN], Operations, 958
[SCAN], AverageLatency(us), 280.6283924843424
[SCAN], MinLatency(us), 81
[SCAN], MaxLatency(us), 9023
[SCAN], 95thPercentileLatency(us), 642
[SCAN], 99thPercentileLatency(us), 1314
[SCAN], Return=OK, 958
